"id";"parentId";"parentUrl";"expandInMenu";"visible";"priority";"access";"title";"linkText";"url";"topDescription";"bottomDescription";"metaTitle";"metaDescription"
"51057";"49644";"chovatelske-potreby";"0";"1";"";"1";"Pelechy, škrabadlá a klietky";"Pelechy, škrabadlá a klietky";"pelechy--skrabadla-a-klietky";"<p>Pelechy, škrabadlá a klietky vytvárajú priestor na odpočinok, škrabanie a pobyt domácich zvierat.</p>";"<h2>Pelechy, škrabadlá a klietky – výber a použitie</h2><p>Pelech vyberajte podľa rozmerov zvieraťa a možnosti prania. Pri škrabadle sledujte stabilitu a výšku; pri klietke vnútorný priestor a bezpečné uzatváranie.</p><p>Ďalší výber ponúka <a href=""/chovatelske-potreby/"">Chovateľské potreby</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/misky-a-davkovace-krmiva/"">Misky a dávkovače krmiva</a>.</p>";"Pelechy, škrabadlá a klietky | PremiumStore.sk";"Pelechy, škrabadlá a klietky vytvárajú priestor na odpočinok, škrabanie a pobyt domácich zvierat."
"51063";"49644";"chovatelske-potreby";"0";"1";"";"1";"Starostlivosť o zvieratá";"Starostlivosť o zvieratá";"starostlivost-o-zvierata";"<p>Pomôcky na starostlivosť o zvieratá zahŕňajú zastrihávače, kefy, nožnice na pazúriky a sušičky.</p>";"<h2>Starostlivosť o zvieratá – výber a použitie</h2><p>Zohľadnite typ a hustotu srsti, veľkosť zvieraťa a jeho citlivosť na hluk. Pri súpravách porovnajte nadstavce, spôsob čistenia a dostupnosť náhradných dielov.</p><p>Ďalší výber ponúka <a href=""/chovatelske-potreby/"">Chovateľské potreby</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/pelechy--skrabadla-a-klietky/"">Pelechy, škrabadlá a klietky</a>.</p>";"Starostlivosť o zvieratá | PremiumStore.sk";"Pomôcky na starostlivosť o zvieratá zahŕňajú zastrihávače, kefy, nožnice na pazúriky a sušičky."
"51054";"49644";"chovatelske-potreby";"0";"1";"";"1";"Venčenie a transport";"Venčenie a transport";"vencenie-a-transport";"<p>Výbava na venčenie a transport zahŕňa vôdzky, prepravné batohy, tašky a hygienické doplnky na prechádzky.</p>";"<h2>Venčenie a transport – výber a použitie</h2><p>Rozhoduje veľkosť a hmotnosť zvieraťa, nosnosť a dĺžka vôdzky alebo vnútorné rozmery prepravky. Doplnky do auta vyberajte podľa upevnenia a ochrany priestoru pre zviera.</p><p>Ďalší výber ponúka <a href=""/chovatelske-potreby/"">Chovateľské potreby</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/pelechy--skrabadla-a-klietky/"">Pelechy, škrabadlá a klietky</a>.</p>";"Venčenie a transport | PremiumStore.sk";"Výbava na venčenie a transport zahŕňa vôdzky, prepravné batohy, tašky a hygienické doplnky na prechádzky."
"49806";"49650";"domace-spotrebice";"0";"1";"5";"1";"Kuchynské roboty a krájače";"Kuchynské roboty a krájače";"kuchynske-roboty-a-krajace";"<p>Kuchynské roboty, mixéry a šľahače aj krájače potravín – značky Tefal, Ariete, Nutribullet, Zelmer a G3Ferrari.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/mixery-a-slahace/"">Mixéry a šľahače</a>. <a href=""/kuchynske-roboty/"">Kuchynské roboty</a>. <a href=""/krajace-potravin/"">Krájače potravín</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"Kuchynské roboty a blendery Tefal, Zelmer | PremiumStore.sk";"Kuchynské roboty, mixéry, šľahače a krájače potravín, značky Tefal, Ariete, Nutribullet a Zelmer."
"49830";"49650";"domace-spotrebice";"0";"1";"4";"1";"Príprava nápojov";"Príprava nápojov";"priprava-napojov";"<p>Príprava nápojov – rýchlovarné kanvice, filtračné kanvice na vodu (BWT, Brita, Laica), odšťavovače a výrobníky ľadu. Značky Ariete a Bravo.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/rychlovarne-kanvice/"">Rýchlovarné kanvice</a>. <a href=""/filtracne-kanvice/"">Filtračné kanvice</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"Rýchlovarné kanvice a filtračné kanvice BWT, Brita | PremiumStore.sk";"Rýchlovarné a filtračné kanvice na vodu, odšťavovače a výrobníky ľadu, značky BWT, Brita, Laica a Ariete."
"49887";"49650";"domace-spotrebice";"0";"1";"1";"1";"Vysávače";"Vysávače";"vysavace";"<p>Vysávače všetkých typov – robotické vysávače (Roborock, MOVA, Viomi, Dreame), tyčové a akumulátorové vysávače (Rowenta) aj klasické podlahové modely. Doplnené o náhradné diely – filtre, mopy a kefy.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/roboticke-vysavace/"">Robotické vysávače</a>. <a href=""/tycove-vysavace/"">Tyčové vysávače</a>. <a href=""/vreckove-a-bezvreckove-vysavace/"">Vreckové a bezvreckové vysávače</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"Robotické a tyčové vysávače Roborock, Rowenta | PremiumStore.sk";"Robotické, tyčové a akumulátorové vysávače, značky Roborock, Rowenta a MOVA, aj náhradné diely."
"49941";"49653";"elektro-smart-home-a-osvetlenie";"0";"1";"5";"1";"Smart domácnosť – zariadenia";"Smart domácnosť – zariadenia";"smart-domacnost";"<p>Konkrétne zariadenia smart domácnosti – inteligentné WiFi zásuvky a napájacie lišty, smart termostaty, zámky a senzory, značky Meross, EMOS GoSmart a GETI. Riadiace huby a ovládače nájdete v kategórii Riadiace jednotky.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/smart-zasuvky/"">Smart zásuvky</a>. <a href=""/smart-termostaty-a-hlavice/"">Smart termostaty a hlavice</a>. <a href=""/senzory-pohybu-a-otvorenia/"">Senzory pohybu a otvorenia</a>. <a href=""/senzory-teploty-a-vlhkosti/"">Senzory teploty a vlhkosti</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"Smart zásuvky, termostaty a senzory | PremiumStore.sk";"Inteligentné WiFi zásuvky, termostaty, zámky a senzory pre smart domácnosť, značky Meross, EMOS GoSmart a GETI."
"50052";"49659";"pocitace-mobily-a-tablety";"0";"1";"6";"1";"WiFi routery a sieťové karty";"WiFi routery a sieťové karty";"sietove-prvky-2";"<p>Sieťové prvky pre domácu aj firemnú sieť – WiFi routery, sieťové karty a switche, značky TP-LINK, D-LINK, MERCUSYS a XIAOMI.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/sietove-switche/"">Sieťové switche</a>. <a href=""/wifi-routery/"">WiFi routery</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"WiFi routery a switche TP-LINK, D-LINK | PremiumStore.sk";"WiFi routery, sieťové karty a switche, značky TP-LINK, D-LINK, MERCUSYS a XIAOMI."
"50097";"49662";"profesionalna-audio-technika";"0";"1";"1";"1";"Pódium, diskotéka, DJ";"Pódium, diskotéka, DJ";"podium--diskoteka--dj";"<p>Vybavenie pre DJ-ov a pódiové vystúpenia – mikrofóny, reproduktorové systémy a zosilňovače, statívy a držiaky, audio procesory a mixážne pulty (powermixy). Značky Monacor, IMG, JTS a Behringer.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/mikrofonove-a-reproduktorove-stojany/"">Mikrofónové a reproduktorové stojany</a>. <a href=""/mixazne-pulty/"">Mixážne pulty</a>. <a href=""/di-boxy-a-audio-izolatory/"">DI boxy a audio izolátory</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"DJ mikrofóny, mixy a reproduktorové systémy | PremiumStore.sk";"Mikrofóny, reproduktorové systémy, statívy, audio procesory a mixážne pulty pre DJ a pódiové vystúpenia, značky Monacor, JTS a Behringer."
"50157";"49668";"zdravie-a-starostlivost";"0";"1";"1";"1";"Starostlivosť o vlasy";"Starostlivosť o vlasy";"starostlivost-o-vlasy";"<p>Starostlivosť o vlasy – fény, kulmy, žehličky na vlasy a krepovacie kliešte, zastrihávače vlasov a brady. Značky Bellissima, Remington a Rowenta.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/feny-a-teplovzdusne-kefy/"">Fény a teplovzdušné kefy</a>. <a href=""/kulmy-na-vlasy/"">Kulmy na vlasy</a>. <a href=""/zehlicky-na-vlasy/"">Žehličky na vlasy</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"Fény, kulmy a žehličky na vlasy Bellissima, Remington | PremiumStore.sk";"Fény, kulmy, žehličky na vlasy a zastrihávače, značky Bellissima, Remington a Rowenta."
"50163";"49668";"zdravie-a-starostlivost";"0";"1";"2";"1";"Starostlivosť o zuby";"Starostlivosť o zuby";"starostlivost-o-zuby";"<p>Starostlivosť o zuby – elektrické (sonické) zubné kefky, ústne sprchy a náhradné kefkové hlavice. Značky Oral-B, Philips, TrueLife a Usmile.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/nahradne-hlavice-na-zubne-kefky/"">Náhradné hlavice na zubné kefky</a>. <a href=""/elektricke-zubne-kefky/"">Elektrické zubné kefky</a>. <a href=""/ustne-sprchy/"">Ústne sprchy</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"Elektrické zubné kefky a ústne sprchy Oral-B, Philips | PremiumStore.sk";"Elektrické zubné kefky, ústne sprchy a náhradné hlavice, značky Oral-B, Philips a TrueLife."
"50412";"49674";"3d-tlac";"0";"1";"1";"1";"Tlačové struny a vlákna";"Tlačové struny a vlákna";"vlakna-pre-3d-tlac";"<p>Tlačové struny pre FDM tlačiarne – PLA, PETG, ABS, ASA aj flexibilné a špeciálne materiály v rôznych farbách.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/pla-filamenty/"">PLA filamenty</a>. <a href=""/petg-filamenty/"">PETG filamenty</a>. <a href=""/abs-a-asa-filamenty/"">ABS a ASA filamenty</a>. <a href=""/tpu-filamenty/"">TPU filamenty</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"Vlákna pre 3D tlač – PLA, PETG, ABS | PremiumStore.sk";"Tlačové struny pre 3D tlač – PLA, PETG, ABS, ASA aj flexibilné materiály v rôznych farbách."
"50214";"49773";"meracie-technika";"0";"1";"1";"1";"Multimetre a kliešťové merače";"Multimetre a kliešťové merače";"multimetre-a-kliestove-merace";"<p>Digitálne multimetre a kliešťové merače prúdu na meranie napätia, prúdu, odporu, kapacity a testovanie diód. Najviac zastúpená je značka UNI-T (rady UT202, UT219M PRO Line a ďalšie), doplnená o multimetre EMOS a Solight vrátane profesionálnych True RMS modelov.</p><p>Kliešťový merač zvoľte vtedy, keď potrebujete merať prúd bez rozpojenia obvodu; klasický multimeter pri servisnej a dielenskej práci s priamym prístupom k vodičom.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/kliestove-merace/"">Kliešťové merače</a>. <a href=""/digitalne-multimetre/"">Digitálne multimetre</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"Multimetre a kliešťové merače UNI-T, EMOS, Solight | PremiumStore.sk";"Digitálne multimetre a kliešťové merače prúdu UNI-T, EMOS a Solight – True RMS modely, meranie napätia, prúdu, odporu aj test diódy."
"50565";"49962";"fotovoltaika";"0";"1";"1";"1";"Káble a konektory pre fotovoltaiku";"Káble a konektory pre fotovoltaiku";"kable-pre-fotovoltaiku";"<p>Solárne káble a konektory MC4 pre prepojenie fotovoltických panelov – v metráži aj hotové prepojky, odolné voči UV a poveternosti.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/fotovoltaicke-kable/"">Fotovoltaické káble</a>. <a href=""/fotovoltaicke-konektory/"">Fotovoltaické konektory</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"Solárne káble a konektory MC4 | PremiumStore.sk";"Solárne káble a konektory MC4 pre fotovoltiku – metráž aj hotové prepojky odolné voči UV."
"50586";"50004";"herne-prislusenstvo-3";"0";"1";"1";"1";"Herné simulátory";"Herné simulátory";"herne-simulatory";"<p>Volanty, pedále, joysticky a kokpity pre pretekárske a letecké simulátory.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/volanty-a-pretekarske-ovladace/"">Volanty a pretekárske ovládače</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"Herné simulátory – volanty, joysticky | PremiumStore.sk";"Volanty, pedále, joysticky a kokpity pre pretekárske a letecké simulátory."
"50364";"50121";"foto-a-prislusenstvo";"0";"1";"4";"1";"Filtre";"Filtre";"filtre-2";"<p>Objektívové filtre (ND, CPL, polarizačné) najmä pre akčné kamery DJI Osmo Pocket a GoPro (Freewell, Neewer, Sunnylife), doplnené o filtre pre klasické zrkadlovky. Vyberte filter podľa presného modelu vašej kamery/objektívu.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/supravy-fotografickych-filtrov/"">Súpravy fotografických filtrov</a>. <a href=""/nd-a-variabilne-nd-filtre/"">ND a variabilné ND filtre</a>. <a href=""/efektove-a-difuzne-filtre/"">Efektové a difúzne filtre</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"Filtre pre akčné kamery a zrkadlovky | PremiumStore.sk";"ND, CPL a polarizačné filtre pre akčné kamery (DJI Osmo, GoPro) aj objektívy zrkadloviek, značky Freewell a Neewer."
"50367";"50121";"foto-a-prislusenstvo";"0";"1";"3";"1";"Fotoateliér";"Fotoateliér";"fotoatelier-2";"<p>Vybavenie pre fotoateliér – svetlá a blesky GODOX a NEEWER, softboxy, stany bez tieňa, kruhové svetlá a fotografické pozadia. Vhodné pre produktovú fotografiu aj domáce mini-štúdio.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/fotostany-a-fotoboxy/"">Fotostany a fotoboxy</a>. <a href=""/softboxy-a-modifikatory-svetla/"">Softboxy a modifikátory svetla</a>. <a href=""/fotograficke-a-video-svetla/"">Fotografické a video svetlá</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"Fotoateliérové vybavenie – GODOX, Puluz, NEEWER | PremiumStore.sk";"Svetlá, blesky, softboxy, stany bez tieňa a fotografické pozadia pre domáce aj profesionálne fotoštúdio."
"50376";"50121";"foto-a-prislusenstvo";"0";"1";"1";"1";"Príslušenstvo pre fotoaparáty a akčné kamery";"Príslušenstvo pre fotoaparáty a akčné kamery";"prislusenstvo-pre-fotoaparaty-a-akcne-kamery";"<p>Široké príslušenstvo najmä pre športové/akčné kamery (GoPro, Insta360, DJI Osmo Action) – ochranné a vodotesné kryty, magnetické adaptéry, slnečné clony a náhradné diely, značka Sunnylife. Doplnené o príslušenstvo pre klasické fotoaparáty a videokamery aj stabilizátory.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/baterie-a-nabijacky-pre-kamery/"">Batérie a nabíjačky pre kamery</a>. <a href=""/ochranne-skla-a-folie-pre-kamery/"">Ochranné sklá a fólie pre kamery</a>. <a href=""/ochranne-kryty-a-klietky-pre-kamery/"">Ochranné kryty a klietky pre kamery</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"Príslušenstvo pre akčné kamery a fotoaparáty | PremiumStore.sk";"Krytky, filtre, magnetické a vodotesné puzdrá a ďalšie príslušenstvo pre športové kamery, fotoaparáty aj stabilizátory. Značka Sunnylife."
"50382";"50121";"foto-a-prislusenstvo";"0";"1";"2";"1";"Statívy, držiaky a upevnenie pre kamery";"Statívy, držiaky a upevnenie pre kamery";"stativy-drziaky-a-upevnenie";"<p>Upevnenie akčnej kamery kamkoľvek – hrudné a hlavové postroje, prísavky na sklo a držiaky na bicykel, statívy a trojnožky, selfie tyče aj adaptéry medzi systémami. Pre GoPro, DJI, Insta360 a ďalšie. Značky Puluz a Telesin.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/selfie-tyce-pre-kamery/"">Selfie tyče pre kamery</a>. <a href=""/popruhy-a-postroje-pre-kamery/"">Popruhy a postroje pre kamery</a>. <a href=""/stativy-pre-fotoaparaty-a-kamery/"">Statívy pre fotoaparáty a kamery</a>. <a href=""/drziaky-a-montazne-uchyty-pre-kamery/"">Držiaky a montážne úchyty pre kamery</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"Statívy, držiaky a postroje pre akčné kamery | PremiumStore.sk";"Statívy, hrudné a hlavové postroje, prísavky, selfie tyče a adaptéry pre GoPro, DJI a Insta360."
"50397";"50391";"sluchadla";"0";"1";"1";"1";"Bezdrôtové slúchadlá";"Bezdrôtové slúchadlá";"bezdrotove-sluchadla";"<p>Bezdrôtové slúchadlá s Bluetooth – náhlavné aj TWS do uší. Modely s aktívnym potlačením hluku (ANC), dlhou výdržou batérie a nabíjacím puzdrom, vhodné na cestovanie, prácu aj šport.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/tws-sluchadla/"">TWS slúchadlá</a>. <a href=""/otvorene-bezdrotove-sluchadla/"">Otvorené bezdrôtové slúchadlá</a>. <a href=""/nahlavne-bezdrotove-sluchadla/"">Náhlavné bezdrôtové slúchadlá</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"Bezdrôtové slúchadlá – Bluetooth, TWS, ANC | PremiumStore.sk";"Bezdrôtové Bluetooth slúchadlá – náhlavné aj TWS s ANC. Sony, JBL, Philips, Edifier aj Apple AirPods."
