"parentUrl";"expandInMenu";"visible";"priority";"access";"title";"linkText";"url";"topDescription";"bottomDescription";"metaTitle";"metaDescription"
"pelechy--skrabadla-a-klietky";"0";"1";"1";"1";"Pelechy pre psy a mačky";"Pelechy pre psy a mačky";"pelechy-pre-psy-a-macky";"<p>Pelechy pre psy a mačky poskytujú vlastné miesto na odpočinok v domácnosti.</p>";"<h2>Pelechy pre psy a mačky – výber a použitie</h2><p>Vyberajte podľa veľkosti zvieraťa v polohe pri spánku, materiálu a možnosti prania. Pri vyvýšených okrajoch porovnajte aj vnútornú plochu pelechu.</p><p>Súvisiaci výber: <a href=""/pelechy--skrabadla-a-klietky/"">Pelechy, škrabadlá a klietky</a> <a href=""/skrabadla-pre-macky/"">Škrabadlá pre mačky</a>.</p>";"Pelechy pre psy a mačky | PremiumStore.sk";"Pelechy pre psy a mačky poskytujú vlastné miesto na odpočinok v domácnosti."
"pelechy--skrabadla-a-klietky";"0";"1";"2";"1";"Škrabadlá pre mačky";"Škrabadlá pre mačky";"skrabadla-pre-macky";"<p>Škrabadlá pre mačky poskytujú plochu na škrabanie a podľa konštrukcie aj miesto na odpočinok.</p>";"<h2>Škrabadlá pre mačky – výber a použitie</h2><p>Porovnajte stabilitu základne, výšku a veľkosť odpočívadiel. Konštrukciu prispôsobte veľkosti a aktivite mačky.</p><p>Súvisiaci výber: <a href=""/pelechy--skrabadla-a-klietky/"">Pelechy, škrabadlá a klietky</a> <a href=""/pelechy-pre-psy-a-macky/"">Pelechy pre psy a mačky</a>.</p>";"Škrabadlá pre mačky | PremiumStore.sk";"Škrabadlá pre mačky poskytujú plochu na škrabanie a podľa konštrukcie aj miesto na odpočinok."
"kuchynske-roboty-a-krajace";"0";"1";"1";"1";"Krájače potravín";"Krájače potravín";"kuchynske-roboty-a-krajace-krajace-potravin";"<p>Krájače potravín uľahčujú prípravu rovnomerných plátkov.</p>";"<h2>Krájače potravín – výber a použitie</h2><p>Vyberajte podľa rozsahu hrúbky rezu, typu noža a možnosti rozobratia na čistenie. Zohľadnite potraviny, ktoré plánujete krájať.</p><p>Súvisiaci výber: <a href=""/kuchynske-roboty-a-krajace/"">Kuchynské roboty a krájače</a> <a href=""/kuchynske-roboty-a-krajace-mixery-a-slahace/"">Mixéry a šľahače</a> <a href=""/kuchynske-roboty-a-krajace-kuchynske-roboty/"">Kuchynské roboty</a>.</p>";"Krájače potravín | PremiumStore.sk";"Krájače potravín uľahčujú prípravu rovnomerných plátkov."
"kuchynske-roboty-a-krajace";"0";"1";"2";"1";"Kuchynské roboty";"Kuchynské roboty";"kuchynske-roboty-a-krajace-kuchynske-roboty";"<p>Kuchynské roboty kombinujú viac úloh pri príprave jedál.</p>";"<h2>Kuchynské roboty – výber a použitie</h2><p>Porovnajte objem misy, dostupné pracovné nástroje a rozsah balenia. Doplnkové nadstavce nemusia byť súčasťou základnej zostavy.</p><p>Súvisiaci výber: <a href=""/kuchynske-roboty-a-krajace/"">Kuchynské roboty a krájače</a> <a href=""/kuchynske-roboty-a-krajace-mixery-a-slahace/"">Mixéry a šľahače</a> <a href=""/kuchynske-roboty-a-krajace-krajace-potravin/"">Krájače potravín</a>.</p>";"Kuchynské roboty | PremiumStore.sk";"Kuchynské roboty kombinujú viac úloh pri príprave jedál."
"kuchynske-roboty-a-krajace";"0";"1";"3";"1";"Mixéry a šľahače";"Mixéry a šľahače";"kuchynske-roboty-a-krajace-mixery-a-slahace";"<p>Mixéry a šľahače pomáhajú pri príprave cesta, krémov a ďalších jedál.</p>";"<h2>Mixéry a šľahače – výber a použitie</h2><p>Rozlišujte stolový, tyčový a ručný prístroj podľa spôsobu práce. Porovnajte objem nádob, nadstavce a možnosti čistenia.</p><p>Súvisiaci výber: <a href=""/kuchynske-roboty-a-krajace/"">Kuchynské roboty a krájače</a> <a href=""/kuchynske-roboty-a-krajace-kuchynske-roboty/"">Kuchynské roboty</a> <a href=""/kuchynske-roboty-a-krajace-krajace-potravin/"">Krájače potravín</a>.</p>";"Mixéry a šľahače | PremiumStore.sk";"Mixéry a šľahače pomáhajú pri príprave cesta, krémov a ďalších jedál."
"priprava-napojov";"0";"1";"1";"1";"Filtračné kanvice";"Filtračné kanvice";"priprava-napojov-filtracne-kanvice";"<p>Filtračné kanvice využívajú vymeniteľnú vložku na úpravu vody podľa parametrov výrobcu.</p>";"<h2>Filtračné kanvice – výber a použitie</h2><p>Skontrolujte objem kanvice a typ kompatibilnej vložky. Interval výmeny závisí od spotreby aj kvality vstupnej vody.</p><p>Súvisiaci výber: <a href=""/priprava-napojov/"">Príprava nápojov</a> <a href=""/priprava-napojov-rychlovarne-kanvice/"">Rýchlovarné kanvice</a>.</p>";"Filtračné kanvice | PremiumStore.sk";"Filtračné kanvice využívajú vymeniteľnú vložku na úpravu vody podľa parametrov výrobcu."
"priprava-napojov";"0";"1";"2";"1";"Rýchlovarné kanvice";"Rýchlovarné kanvice";"priprava-napojov-rychlovarne-kanvice";"<p>Rýchlovarné kanvice slúžia na ohrev vody pre bežnú prípravu nápojov.</p>";"<h2>Rýchlovarné kanvice – výber a použitie</h2><p>Porovnajte objem, materiál, spôsob čistenia a reguláciu teploty. Pre menšie množstvo vody je dôležitá aj minimálna hladina určená výrobcom.</p><p>Súvisiaci výber: <a href=""/priprava-napojov/"">Príprava nápojov</a> <a href=""/priprava-napojov-filtracne-kanvice/"">Filtračné kanvice</a>.</p>";"Rýchlovarné kanvice | PremiumStore.sk";"Rýchlovarné kanvice slúžia na ohrev vody pre bežnú prípravu nápojov."
"vysavace";"0";"1";"1";"1";"Robotické vysávače";"Robotické vysávače";"vysavace-roboticke-vysavace";"<p>Robotické vysávače automatizujú časť pravidelného čistenia podláh.</p>";"<h2>Robotické vysávače – výber a použitie</h2><p>Porovnajte navigáciu, výšku zariadenia, prechod cez prahy a funkcie stanice. Mopovanie a automatické čistenie mopu sú vlastnosti len vybraných modelov.</p><p>Súvisiaci výber: <a href=""/vysavace/"">Vysávače</a> <a href=""/vysavace-tycove-vysavace/"">Tyčové vysávače</a> <a href=""/vreckove-a-bezvreckove-vysavace/"">Vreckové a bezvreckové vysávače</a>.</p>";"Robotické vysávače | PremiumStore.sk";"Robotické vysávače automatizujú časť pravidelného čistenia podláh."
"vysavace";"0";"1";"2";"1";"Tyčové vysávače";"Tyčové vysávače";"vysavace-tycove-vysavace";"<p>Tyčové vysávače sú určené na priebežné upratovanie domácnosti.</p>";"<h2>Tyčové vysávače – výber a použitie</h2><p>Porovnajte hmotnosť, výdrž pri používanom režime a príslušenstvo. Vyberajte podľa typu podláh a požadovaného použitia ručnej jednotky.</p><p>Súvisiaci výber: <a href=""/vysavace/"">Vysávače</a> <a href=""/vysavace-roboticke-vysavace/"">Robotické vysávače</a> <a href=""/vreckove-a-bezvreckove-vysavace/"">Vreckové a bezvreckové vysávače</a>.</p>";"Tyčové vysávače | PremiumStore.sk";"Tyčové vysávače sú určené na priebežné upratovanie domácnosti."
"vysavace";"0";"1";"3";"1";"Vreckové a bezvreckové vysávače";"Vreckové a bezvreckové vysávače";"vreckove-a-bezvreckove-vysavace";"<p>Podlahové vreckové a bezvreckové vysávače ponúkajú rozdielny spôsob zberu nečistôt.</p>";"<h2>Vreckové a bezvreckové vysávače – výber a použitie</h2><p>Zohľadnite typ podláh, objem nádoby alebo vrecka, filtráciu a pracovný dosah. Dostupnosť spotrebného materiálu overte ešte pred výberom.</p><p>Súvisiaci výber: <a href=""/vysavace/"">Vysávače</a> <a href=""/vysavace-roboticke-vysavace/"">Robotické vysávače</a> <a href=""/vysavace-tycove-vysavace/"">Tyčové vysávače</a>.</p>";"Vreckové a bezvreckové vysávače | PremiumStore.sk";"Podlahové vreckové a bezvreckové vysávače ponúkajú rozdielny spôsob zberu nečistôt."
"smart-domacnost";"0";"1";"1";"1";"Senzory pohybu a otvorenia";"Senzory pohybu a otvorenia";"senzory-pohybu-a-otvorenia";"<p>Senzory pohybu a otvorenia informujú o pohybe osôb alebo zmene stavu dverí a okien.</p>";"<h2>Senzory pohybu a otvorenia – výber a použitie</h2><p>Vyberajte podľa sledovaného javu, dosahu a protokolu. Pri automatizácii overte kompatibilitu s hubom a spôsob napájania snímača.</p><p>Súvisiaci výber: <a href=""/smart-domacnost/"">Smart domácnosť – zariadenia</a> <a href=""/smart-domacnost-zariadenia-smart-zasuvky/"">Smart zásuvky</a> <a href=""/smart-termostaty-a-hlavice/"">Smart termostaty a hlavice</a>.</p>";"Senzory pohybu a otvorenia | PremiumStore.sk";"Senzory pohybu a otvorenia informujú o pohybe osôb alebo zmene stavu dverí a okien."
"smart-domacnost";"0";"1";"2";"1";"Senzory teploty a vlhkosti";"Senzory teploty a vlhkosti";"senzory-teploty-a-vlhkosti";"<p>Senzory teploty a vlhkosti poskytujú údaje pre prehľad o vnútornom prostredí.</p>";"<h2>Senzory teploty a vlhkosti – výber a použitie</h2><p>Porovnajte rozsah a presnosť merania, interval aktualizácie a spôsob komunikácie. Ak má senzor spúšťať automatizácie, overte podporu v používanej aplikácii.</p><p>Súvisiaci výber: <a href=""/smart-domacnost/"">Smart domácnosť – zariadenia</a> <a href=""/smart-domacnost-zariadenia-smart-zasuvky/"">Smart zásuvky</a> <a href=""/smart-termostaty-a-hlavice/"">Smart termostaty a hlavice</a>.</p>";"Senzory teploty a vlhkosti | PremiumStore.sk";"Senzory teploty a vlhkosti poskytujú údaje pre prehľad o vnútornom prostredí."
"smart-domacnost";"0";"1";"3";"1";"Smart termostaty a hlavice";"Smart termostaty a hlavice";"smart-termostaty-a-hlavice";"<p>Smart termostaty a hlavice slúžia na riadenie vykurovania podľa nastaveného režimu.</p>";"<h2>Smart termostaty a hlavice – výber a použitie</h2><p>Overte typ vykurovacej sústavy, spôsob pripojenia a potrebu centrálnej jednotky. Pri radiátorovej hlavici skontrolujte závit ventilu a dostupné adaptéry.</p><p>Súvisiaci výber: <a href=""/smart-domacnost/"">Smart domácnosť – zariadenia</a> <a href=""/smart-domacnost-zariadenia-smart-zasuvky/"">Smart zásuvky</a> <a href=""/senzory-pohybu-a-otvorenia/"">Senzory pohybu a otvorenia</a>.</p>";"Smart termostaty a hlavice | PremiumStore.sk";"Smart termostaty a hlavice slúžia na riadenie vykurovania podľa nastaveného režimu."
"smart-domacnost";"0";"1";"4";"1";"Smart zásuvky";"Smart zásuvky";"smart-domacnost-zariadenia-smart-zasuvky";"<p>Smart zásuvky umožňujú ovládať napájanie pripojeného spotrebiča.</p>";"<h2>Smart zásuvky – výber a použitie</h2><p>Skontrolujte zásuvkový štandard, maximálne zaťaženie a komunikačný protokol. Meranie spotreby či podpora konkrétneho hlasového asistenta sú vlastnosti vybraných modelov.</p><p>Súvisiaci výber: <a href=""/smart-domacnost/"">Smart domácnosť – zariadenia</a> <a href=""/smart-termostaty-a-hlavice/"">Smart termostaty a hlavice</a> <a href=""/senzory-pohybu-a-otvorenia/"">Senzory pohybu a otvorenia</a>.</p>";"Smart zásuvky | PremiumStore.sk";"Smart zásuvky umožňujú ovládať napájanie pripojeného spotrebiča."
"sietove-prvky-2";"0";"1";"1";"1";"Sieťové switche";"Sieťové switche";"sietove-switche";"<p>Sieťové switche rozširujú počet káblových pripojení v lokálnej sieti.</p>";"<h2>Sieťové switche – výber a použitie</h2><p>Porovnajte počet portov, ich rýchlosť a potrebu správy siete. Pri PoE variante skontrolujte štandard a celkový výkon pre napájané zariadenia.</p><p>Súvisiaci výber: <a href=""/sietove-prvky-2/"">WiFi routery a sieťové karty</a> <a href=""/wifi-routery-a-sietove-karty-wifi-routery/"">WiFi routery</a>.</p>";"Sieťové switche | PremiumStore.sk";"Sieťové switche rozširujú počet káblových pripojení v lokálnej sieti."
"sietove-prvky-2";"0";"1";"2";"1";"WiFi routery";"WiFi routery";"wifi-routery-a-sietove-karty-wifi-routery";"<p>WiFi routery zabezpečujú pripojenie zariadení k domácej alebo kancelárskej sieti.</p>";"<h2>WiFi routery – výber a použitie</h2><p>Vyberajte podľa spôsobu internetového pripojenia, podporovaných pásiem a rýchlosti portov. Pri väčšom priestore porovnajte možnosť rozšírenia pomocou mesh systému.</p><p>Súvisiaci výber: <a href=""/sietove-prvky-2/"">WiFi routery a sieťové karty</a> <a href=""/sietove-switche/"">Sieťové switche</a>.</p>";"WiFi routery | PremiumStore.sk";"WiFi routery zabezpečujú pripojenie zariadení k domácej alebo kancelárskej sieti."
"podium--diskoteka--dj";"0";"1";"1";"1";"DI boxy a audio izolátory";"DI boxy a audio izolátory";"di-boxy-a-audio-izolatory";"<p>DI boxy a audio izolátory slúžia na vhodné prepojenie vybraných zvukových signálov.</p>";"<h2>DI boxy a audio izolátory – výber a použitie</h2><p>Vyberajte podľa vstupného signálu, konektorov a počtu kanálov. Aktívne a pasívne riešenia majú odlišné požiadavky na napájanie a použitie.</p><p>Súvisiaci výber: <a href=""/podium--diskoteka--dj/"">Pódium, diskotéka, DJ</a> <a href=""/mikrofonove-a-reproduktorove-stojany/"">Mikrofónové a reproduktorové stojany</a> <a href=""/podium-diskoteka-dj-mixazne-pulty/"">Mixážne pulty</a>.</p>";"DI boxy a audio izolátory | PremiumStore.sk";"DI boxy a audio izolátory slúžia na vhodné prepojenie vybraných zvukových signálov."
"podium--diskoteka--dj";"0";"1";"2";"1";"Mikrofónové a reproduktorové stojany";"Mikrofónové a reproduktorové stojany";"mikrofonove-a-reproduktorove-stojany";"<p>Mikrofónové a reproduktorové stojany umožňujú nastaviť polohu techniky na pódiu alebo v skúšobni.</p>";"<h2>Mikrofónové a reproduktorové stojany – výber a použitie</h2><p>Porovnajte nosnosť, nastaviteľnú výšku a kompatibilný závit alebo priemer. Pri prenášaní je dôležitá stabilita aj hmotnosť zostavy.</p><p>Súvisiaci výber: <a href=""/podium--diskoteka--dj/"">Pódium, diskotéka, DJ</a> <a href=""/podium-diskoteka-dj-mixazne-pulty/"">Mixážne pulty</a> <a href=""/di-boxy-a-audio-izolatory/"">DI boxy a audio izolátory</a>.</p>";"Mikrofónové a reproduktorové stojany | PremiumStore.sk";"Mikrofónové a reproduktorové stojany umožňujú nastaviť polohu techniky na pódiu alebo v skúšobni."
"podium--diskoteka--dj";"0";"1";"3";"1";"Mixážne pulty";"Mixážne pulty";"podium-diskoteka-dj-mixazne-pulty";"<p>Mixážne pulty spájajú a nastavujú zvuk z viacerých vstupov.</p>";"<h2>Mixážne pulty – výber a použitie</h2><p>Porovnajte počet mikrofónových a linkových vstupov, výstupy a možnosti routovania. USB, efekty alebo fantómové napájanie overte pri konkrétnom modeli.</p><p>Súvisiaci výber: <a href=""/podium--diskoteka--dj/"">Pódium, diskotéka, DJ</a> <a href=""/mikrofonove-a-reproduktorove-stojany/"">Mikrofónové a reproduktorové stojany</a> <a href=""/di-boxy-a-audio-izolatory/"">DI boxy a audio izolátory</a>.</p>";"Mixážne pulty | PremiumStore.sk";"Mixážne pulty spájajú a nastavujú zvuk z viacerých vstupov."
"audio-technika";"0";"1";"2";"1";"HiFi zosilňovače a receivery";"HiFi zosilňovače a receivery";"hifi-zosilnovace-a-receivery";"<p>HiFi zosilňovače a receivery prepájajú zvukové zdroje s kompatibilnými reproduktormi.</p>";"<h2>HiFi zosilňovače a receivery – výber a použitie</h2><p>Porovnajte podporovanú impedanciu, výkon pri danej záťaži, vstupy a sieťové funkcie. Overte, či potrebujete stereofónne alebo viackanálové zariadenie.</p><p>Súvisiaci výber: <a href=""/audio-technika/"">Audio technika</a> <a href=""/audio-technika-prenosne-bluetooth-reproduktory/"">Prenosné Bluetooth reproduktory</a> <a href=""/audio-technika-prislusenstvo-k-audio-technike/"">Príslušenstvo k audio technike</a>.</p>";"HiFi zosilňovače a receivery | PremiumStore.sk";"HiFi zosilňovače a receivery prepájajú zvukové zdroje s kompatibilnými reproduktormi."
"audio-technika";"0";"1";"3";"1";"Prenosné Bluetooth reproduktory";"Prenosné Bluetooth reproduktory";"audio-technika-prenosne-bluetooth-reproduktory";"<p>Prenosné Bluetooth reproduktory umožňujú počúvať hudbu doma aj na cestách.</p>";"<h2>Prenosné Bluetooth reproduktory – výber a použitie</h2><p>Vyberajte podľa rozmerov, hmotnosti, výdrže a odolnosti konkrétneho modelu. Možnosti nabíjania a prepojenia viacerých reproduktorov sa medzi modelmi líšia.</p><p>Súvisiaci výber: <a href=""/audio-technika/"">Audio technika</a> <a href=""/hifi-zosilnovace-a-receivery/"">HiFi zosilňovače a receivery</a> <a href=""/audio-technika-prislusenstvo-k-audio-technike/"">Príslušenstvo k audio technike</a>.</p>";"Prenosné Bluetooth reproduktory | PremiumStore.sk";"Prenosné Bluetooth reproduktory umožňujú počúvať hudbu doma aj na cestách."
"audio-technika";"0";"1";"4";"1";"Príslušenstvo k audio technike";"Príslušenstvo k audio technike";"audio-technika-prislusenstvo-k-audio-technike";"<p>Príslušenstvo k audio technike dopĺňa používanie a údržbu zvukových zariadení.</p>";"<h2>Príslušenstvo k audio technike – výber a použitie</h2><p>Skontrolujte účel doplnku, konektory a presný kompatibilný model. Popruh, adaptér a náhradný diel nenahrádzajú samotné zariadenie.</p><p>Súvisiaci výber: <a href=""/audio-technika/"">Audio technika</a> <a href=""/hifi-zosilnovace-a-receivery/"">HiFi zosilňovače a receivery</a> <a href=""/audio-technika-prenosne-bluetooth-reproduktory/"">Prenosné Bluetooth reproduktory</a>.</p>";"Príslušenstvo k audio technike | PremiumStore.sk";"Príslušenstvo k audio technike dopĺňa používanie a údržbu zvukových zariadení."
"audio-technika";"0";"1";"5";"1";"Príslušenstvo k slúchadlám";"Príslušenstvo k slúchadlám";"prislusenstvo-k-sluchadlam";"<p>Náušníky, puzdrá a ďalšie príslušenstvo dopĺňajú používanie a údržbu slúchadiel.</p>";"<h2>Príslušenstvo k slúchadlám – výber a použitie</h2><p>Overte presný model a generáciu slúchadiel, rozmery a obsah balenia. Nabíjacie puzdro, náušníky a koncovky sú samostatné doplnky.</p><p>Súvisiaci výber: <a href=""/audio-technika/"">Audio technika</a> <a href=""/hifi-zosilnovace-a-receivery/"">HiFi zosilňovače a receivery</a> <a href=""/audio-technika-prenosne-bluetooth-reproduktory/"">Prenosné Bluetooth reproduktory</a>.</p>";"Príslušenstvo k slúchadlám | PremiumStore.sk";"Náušníky, puzdrá a ďalšie príslušenstvo dopĺňajú používanie a údržbu slúchadiel."
"audio-technika";"0";"1";"6";"1";"Stojany a držiaky na reproduktory";"Stojany a držiaky na reproduktory";"stojany-a-drziaky-na-reproduktory";"<p>Stojany a držiaky pomáhajú umiestniť reproduktory a soundbary do požadovanej polohy.</p>";"<h2>Stojany a držiaky na reproduktory – výber a použitie</h2><p>Porovnajte nosnosť, rozstup montážnych bodov a podporované modely. Zvoľte vhodné upevnenie podľa podkladu a montážneho návodu.</p><p>Súvisiaci výber: <a href=""/audio-technika/"">Audio technika</a> <a href=""/hifi-zosilnovace-a-receivery/"">HiFi zosilňovače a receivery</a> <a href=""/audio-technika-prenosne-bluetooth-reproduktory/"">Prenosné Bluetooth reproduktory</a>.</p>";"Stojany a držiaky na reproduktory | PremiumStore.sk";"Stojany a držiaky pomáhajú umiestniť reproduktory a soundbary do požadovanej polohy."
"starostlivost-o-vlasy";"0";"1";"1";"1";"Fény a teplovzdušné kefy";"Fény a teplovzdušné kefy";"feny-a-teplovzdusne-kefy";"<p>Fény a teplovzdušné kefy kombinujú rôzne spôsoby sušenia a tepelnej úpravy vlasov.</p>";"<h2>Fény a teplovzdušné kefy – výber a použitie</h2><p>Porovnajte nastavenie teploty a prúdenia, hmotnosť a nadstavce. Difuzér, koncentrátor alebo ionizácia sú súčasťou len vybraných modelov.</p><p>Súvisiaci výber: <a href=""/starostlivost-o-vlasy/"">Starostlivosť o vlasy</a> <a href=""/starostlivost-o-vlasy-kulmy-na-vlasy/"">Kulmy na vlasy</a> <a href=""/zehlicky-na-vlasy/"">Žehličky na vlasy</a>.</p>";"Fény a teplovzdušné kefy | PremiumStore.sk";"Fény a teplovzdušné kefy kombinujú rôzne spôsoby sušenia a tepelnej úpravy vlasov."
